Ethereum,,,,,,,,,
Date,TVL,Chain Fees,Chain Revenue,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,Active Addresses,Transactions
18 May 2026,$43.256B,"$439,655","$100,555",$1.411B,$1.573B,$256.819B,$165.702B,"550,492",1.85M
19 May 2026,$43.315B,"$312,770","$82,534",$885.83M,$1.396B,$256.879B,$165.927B,"541,227",1.96M
20 May 2026,$42.702B,"$590,807","$89,978",$1.284B,$1.658B,$254.884B,$164.297B,"517,835",2.11M
21 May 2026,$42.966B,"$320,723","$63,851",$1.027B,$1.838B,$256.734B,$164.466B,"501,296",2.35M
22 May 2026,$43.101B,"$322,962","$53,699",$1.085B,$1.822B,$257.402B,$164.481B,"518,893",2.35M
23 May 2026,$42.223B,"$247,739","$47,202",$918.44M,$1.777B,$249.169B,$164.143B,"445,318",2.71M
24 May 2026,$42.947B,"$240,372","$45,267",$527.39M,$1.710B,$255.409B,$164.260B,"399,012",2.58M
,,,,,,,,,
Solana,,,,,,,,,
Date,TVL ($B),Chain Fees ($),Chain Revenue ($),DEXs Volume ($B),Perps Volume ($B),Token MCap ($B),Stablecoins MCap ($B),Active Addresses (M),Transactions (M TXs)
18 May 2026,$5.379B,"$454,482","$56,041",$1.275B,$5.712B,$49.166B,$15.716B,1.85M,77.53M
19 May 2026,$5.385B,"$411,136","$53,748",$1.103B,$2.494B,$49.340B,$15.466B,1.83M,74.55M
20 May 2026,$5.401B,"$445,008","$55,479",$1.242B,$5.896B,$48.706B,$15.226B,2.03M,76.13M
21 May 2026,$5.459B,"$446,363","$55,595",$1.370B,$1.567B,$49.690B,$15.223B,1.98M,75.89M
22 May 2026,$5.540B,"$470,128","$55,082",$1.236B,$2.531B,$50.371B,$15.348B,2.04M,79.88M
23 May 2026,$5.443B,"$413,003","$56,083",$1.139B,$0.960B,$48.738B,$15.302B,1.80M,77.58M
24 May 2026,$5.492B,"$422,853","$55,056",$0.793B,$0.658B,$49.496B,$15.140B,1.75M,77.78M
,,,,,,,,,
BSC,,,,,,,,,
Date,TVL,DEXs Volume,Perps Volume,Stablecoins MCap,Active Addresses,Transactions,,,
18 May 2026,$5.517B,$637.32M,$271.61M,$17.854B,2.53M,15.15M TXs,,,
19 May 2026,$5.495B,$518.91M,$22.43M,$17.849B,2.56M,15.23M TXs,,,
20 May 2026,$5.471B,$573.33M,$25.24M,$17.437B,2.65M,15.09M TXs,,,
21 May 2026,$5.525B,$568.28M,$23.22M,$17.438B,2.72M,15.84M TXs,,,
22 May 2026,$5.540B,$673.79M,$13.85M,$17.442B,2.79M,18.10M TXs,,,
23 May 2026,$5.510B,$584.57M,$14.16M,$17.441B,2.57M,14.72M TXs,,,
24 May 2026,$5.562B,$537.71M,$9.76M,$17.446B,2.37M,14.36M TXs,,,
,,,,,,,,,
Tron,,,,,,,,,
Date,TVL,Chain Fees,Chain Revenue,DEXs Volume,Perps Volume,Token MCap,Stablecoins MCap,Active Addresses,Transactions
18 May 2026,$5.11B,$1.30M,$1.30M,$63.48M,$287.13M,$33.669B,$90.381B,4.11M,13.10M TXs
19 May 2026,$5.126B,$1.25M,$1.25M,$43.92M,$123.19M,$33.708B,$90.346B,3.98M,12.84M TXs
20 May 2026,$5.127B,$1.20M,$1.20M,$44.19M,$164.67M,$33.745B,$90.977B,4.13M,12.94M TXs
21 May 2026,$5.076B,$1.14M,$1.14M,$40.53M,$171.94M,$34.026B,$90.978B,4.15M,12.56M TXs
22 May 2026,$5.095B,$1.09M,$1.09M,$59.03M,$161.27M,$34.598B,$90.943B,4.02M,12.42M TXs
23 May 2026,$5.068B,$0.837M,$0.837M,$35.72M,$173.69M,$34.315B,$90.966B,3.96M,11.58M TXs
24 May 2026,$5.075B,$0.754M,$0.754M,$31.76M,$132.76M,$34.364B,$90.956B,3.74M,11.05M TXs
,,,,,,,,,
Bitcoin,,,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token MCap,Active Addresses,Transactions,,
18 May 2026,$5.117B,"$192,329","$512,390",$10.93M,$1.547B,"564,015","603,780",,
19 May 2026,$5.099B,"$191,468","$464,848",$8.98M,$1.541B,"639,384","603,780",,
20 May 2026,$5.079B,"$194,686","$565,131",$8.40M,$1.539B,"631,608","619,635",,
21 May 2026,$5.132B,"$210,811","$680,136",$9.18M,$1.552B,"648,310","666,800",,
22 May 2026,$5.118B,"$191,022","$764,375",$9.72M,$1.555B,"630,942","543,303",,
23 May 2026,$4.982B,"$182,242","$452,218",$12.24M,$1.512B,"671,333","713,572",,
24 May 2026,$5.058B,"$162,211","$1,030,000",$9.25M,$1.536B,"573,855","729,353",,
,,,,,,,,,
Base,,,,,,,,,
Date,TVL ($B),DEXs Volume ($B),Perps Volume ($M),Stablecoins MCap ($B),Active Addresses,Transactions (M TXs),,,
18 May 2026,$4.776B,$1.222B,$214.22M,$4.809B,"452,686",9.83M,,,
19 May 2026,$4.463B,$1.017B,$175.51M,$4.761B,"407,338",8.98M,,,
20 May 2026,$4.446B,$1.025B,$226.77M,$4.747B,"436,802",8.69M,,,
21 May 2026,$4.499B,$1.205B,$296.83M,$4.746B,"460,246",10.64M,,,
22 May 2026,$4.521B,$1.128B,$345.28M,$4.737B,"474,317",10.40M,,,
23 May 2026,$4.422B,$1.203B,$241.56M,$4.736B,"451,193",11.28M,,,
24 May 2026,$4.482B,$1.004B,$187.43M,$4.724B,"431,725",8.48M,,,
