Ethereum,,,,,,,,
23 Mar,$6.665b,"$621,301",$2.651b,$2.222b,$49.328b,$15.292b,,
24 Mar,$6.759b,"$609,617",$1.741b,$1.088b,$52.255b,$15.11b,,
25 Mar,$6.653b,"$627,930",$1.598b,$1.118b,$52.004b,$15.273b,,
26 Mar,$6.67b,"$561,528",$1.597b,$1.026b,$52.443b,$15.25b,,
27 Mar,$6.547b,"$521,693",$1.499b,$825.56m,$49.416b,$15.005b,,
28 Mar,$6.402b,"$432,134",$1.075b,$408.63m,$47.482b,$14.907b,,
29 Mar,$6.35b,"$422,753",$1.265b,$547.8m,$46.946b,$14.878b,,
30 Mar 2026,$6.192b,"$825,310",$1.998b,$1.177b,$46.566b,$14.933b,,
31 Mar 2026,$6.164b,"$558,163",$1.963b,$1.684b,$47.208b,$14.877b,,
,,,,,,,,
BSC,,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Stablecoins Mcap,Active Addresses,Transactions,
01 Mar,$5.681b,"$246,719",$1.117b,$374.81m,$13.758b,2.68m,14.98m TXs,
02 Mar,$5.674b,"$306,798",$1.245b,$180.73m,$13.762b,2.7m,16.03m,
03 Mar,$5.617b,"$306,546",$1.022b,$262.75m,$13.751b,2.63m,14.82m,
04 Mar,$5.639b,"$366,856",$1.135b,$289.92m,$13.743b,2.82m,15.18m,
05 Mar,$5.957b,"$301,329",$1.012b,$283.26m,$13.74b,2.92m,15.8m,
06 Mar,$5.969b,"$247,982",$1.007b,$276.11m,$13.747b,2.68m,14.36m,
07 Mar,$5.849b,"$207,032",$645.38m,$257.06m,$13.741b,2.41m,12.84m,
08 Mar,$5.808b,"$210,956",$842.16m,$255.24m,$13.744b,2.33m,12.53m,
09 Mar,$5.753b,"$277,306",$1.051b,$276.7m,$13.748b,2.61m,14.63m,
10 Mar,$5.849b,"$364,275",$988.53m,$267.43m,$13.748b,2.7m,16.21m,
11 Mar,$5.919b,"$456,054",$1.03b,$264.76m,$13.75b,2.78m,15.38m,
12 Mar,$5.89b,"$402,435",$928.95m,$271.08m,$13.749b,2.81m,15.39m,
13 Mar,$5.806b,"$411,818",$1.047b,$274.33m,$13.726b,2.98m,16.51m,
14 Mar,$5.798b,"$291,951",$656.88m,$6.74m,$13.729b,2.48m,12.62m,
15 Mar,$5.814b,"$755,309",$944.37m,$262.07m,$13.73b,2.52m,13.88m,
16 Mar,$5.875b,"$351,283",$1.149b,$281.91m,$13.729b,2.94m,16.1m,
17 Mar,$5.957b,"$429,271",$950.32m,$266.09m,$14.248b,2.82m,16.5m,
18 Mar,$5.891b,"$364,822",$974.95m,$259.9m,$13.724b,2.68m,15.56m,
19 Mar,$5.762b,"$343,523",$819.69m,$259.98m,$13.722b,2.72m,15.49m,
20 Mar,$5.707b,"$334,850",$839.54m,$262.86m,$13.713b,2.6m,15.78m,
21 Mar,$5.748b,"$230,588",$560.99m,$250.41m,$13.706b,2.37m,12.89m,
22 Mar,$5.679b,"$304,731",$1.057b,$251.02m,$13.705b,2.52m,14.72m,
23 Mar 2026,$5.387B,"$495,139",$1.555B,$321.23M,$14.224B,2.62M,15.76M,
24 Mar 2026,$5.45B,"$412,182",$843.74M,$287.88M,$13.699B,2.53M,14.82M,
25 Mar 2026,$5.475B,"$325,377",$851.79M,$264.87M,$13.7B,2.67M,16.01M,
26 Mar 2026,$5.521B,"$289,990",$826.61M,$261.94M,$13.691B,2.56M,15.40M,
27 Mar 2026,$5.372B,"$268,617",$893.84M,$267.67M,$13.686B,2.88M,15.72M,
28 Mar 2026,$5.257B,"$231,722",$784.16M,$257.52M,$14.207B,2.42M,13.52M,
29 Mar 2026,$5.266B,"$255,807",$795.61M,$262.88M,$13.682B,2.36M,14.28M,
30 Mar 2026,$5.25b,"$373,521",$981.57m,$269.94m,$13.684b,2.93m,15.38m TXs,
31 Mar 2026,$5.349b,"$417,524",$892.07m,$283.67m,$13.685b,2.87m,15.57m TXs,
,,,,,,,,
BITCOIN,,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token Mcap,,,
01 Mar,$4.352b,"$168,998","$917,249",$25.31m,$1.34t,,,
02 Mar 2026,$4.292b,"$183,785","650,961",$14.74m,$1.314t,,,
03 Mar 2026,$4.499b,"$184,648",$1.09m,$18.65m,$1.378t,,,
04 Mar 2026,$4.449b,"$220,504",$1.31m,$27.95m,$1.367t,,,
05 Mar 2026,$4.709b,"$195,354",$1.17m,$21.04m,$1.453t,,,
06 Mar 2026,$4.578b,"$199,746","$739,134",$15.73m,$1.418t,,,
07 Mar 2026,$4.405b,"$148,713","$428,312",$9.08m,$1.364t,,,
08 Mar 2026,$4.382b,"$130,876","$445,245",$12.17m,$1.345t,,,
09 Mar 2026,$4.334b,"$174,111","$620,499",$17.17m,$1.322t,,,
10 Mar 2026,$4.432b,"$188,613","$845,515",$16.67m,$1.37t,,,
11 Mar 2026,$4.493b,"$195,460","$560,586",$13.71m,$1.398t,,,
12 Mar 2026,$2.883b,"$192,663","$670,092",$12.57m,$1.405t,,,
13 Mar 2026,$2.967b,"$237,327","$708,657",$17.78m,$1.411t,,,
14 Mar 2026,$2.916b,"$145,968","$519,085",$8.96m,$1.419t,,,
15 Mar 2026,$2.947b,"$143,319","$470,590",$12.29m,$1.425t,,,
16 Mar,$3.006b,"$187,575","$849,714",$27.94m,$1.454t,,,
17 Mar,$3.107b,"$229,093","$742,983",$21.76m,$1.497t,,,
18 Mar,$3.063b,"$189,967","$763,579",$18.28m,$1.479t,,,
19 Mar,$2.952b,"$206,906","$796,758",$14.42m,$1.425t,,,
20 Mar,$2.911b,"$191,593","$690,675",$13.24m,$1.397t,,,
21 Mar,$2.931b,"$188,884","$416,524",$9.65m,$1.412t,,,
