Ethereum ,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token Mcap,Active Addresses
21 May 2026,$5.076B,$1.14M,$40.53M,$171.94M,,
22 May 2026,$5.095B,$1.09M,$59.03M,$161.27M,,
23 May 2026,$5.068B,$0.837M,$35.72M,$173.69M,,
24 May 2026,$5.075B,$0.754M,$31.76M,$132.76M,,
25 May 2026,$5.112B,$1.14M,$55.67M,$140.78M,,
26 May 2026,$5.165B,$1.20M,$48.25M,$186.41M,,
27 May 2026,$5.169B,$1.06M,$47.45M,$156.16M,,
28 May 2026,$5.042B,$1.08M,$77.28M,$42.01M,,
29 May 2026,$4.891B,$1.08M,$63.89M,$61.65M,,
30 May 2026,$4.845B,"$796,368",$41.12M,$52.22M,,
31 May 2026,$4.858B,"$753,508",$41.77M,$59.32M,,
,,,,,,
Bitcoin,,,,,,
Date,TVL,DEXs Volume,,,,
1 May 2026,$5.095b,$1.2m,,,,
2 May 2026,$5.212b,"$302,414",,,,
03 May 2026,$5.248b,"$439,593",,,,
4 May 2026,$5.24b,"$637,092",,,,
5 May 2026,$5.333b,"$400,958",,,,
06 May 2026,$5.41b,"$338,516",,,,
07 May,$5.428b,"$378,411.00",,,,
08 May 2026,$5.337b,"$296,677",,,,
09 May 2026,$5.271b,"$210,911",,,,
10 May 2026,$5.294b,"$363,495",,,,
11 May 2026,$5.366b,"$482,072",,,,
12 May 2026,$5.353b,"$317,855",,,,
13 May 2026,$5.298b,"$348,126",,,,
14 May 2026,$5.211b,"$299,600",,,,
15 May 2026,$5.349b,"$222,390",,,,
16 May 2026,$5.24b,"$595,009",,,,
17 May 2026,$5.182b,"$588,399",,,,
18 May 2026,$5.117B,"$512,390",,,,
19 May 2026,$5.099B,"$464,848",,,,
20 May 2026,$5.079B,"$565,131",,,,
21 May 2026,$5.132B,"$680,136",,,,
22 May 2026,$5.118B,"$764,375",,,,
23 May 2026,$4.982B,"$452,218",,,,
24 May 2026,$5.058B,"$1,030,000",,,,
