Ethereum Chain Data,,,,,,,,,
Date,TVL,Chain Fees,Chain Revenue,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,Active Addresses,Transactions
17 Feb,$6.629b,"$932,163","$60,000",$2.67b,$1.016b,$49.062b,$15.013b,2.07m,83.51m
18 Feb,$6.572b,"$766,492","$56,721",$2.628b,$1.045b,$48.301b,$15.089b,2.13m,78.27m
19 Feb,$6.426b,"$656,518","$56,940",$2.465b,$993.08m,$46.293b,$15.232b,2.12m,80m
20 Feb,$6.443b,"$753,076","$60,559",$2.317b,$1.043b,$46.789b,$15.062b,2.06m,83.8m
21 Feb,$6.537b,"$637,509","$58,992",$1.456b,$404.95m,$48.005b,$15.211b,2.01m,82m
22 Feb,$6.509b,"$650,348","$54,701",$1.456b,$466.9m,$48.452b,$15.189b,2.21m,83.06m
23 Feb,$6.381b,"$707,122","$57,268",$2.737b,$1.179b,$46.931b,$15.253b,2.25m,88.91m
24 Feb,$6.32b,"$774,673","$60,328",$2.673b,$949.56m,$44.219b,$15.214b,2.36m,89.29m
25 Feb,$6.26b,"$824,956","$67,924",$2.481b,$946.59m,$45.046b,$15.239b,2.67m,98.62m
26 Feb,$6.588b,"$722,706","$61,917",$2.43b,$841.73m,$49.753b,$15.349b,2.29m,86.19m
27 Feb,$6.581b,"$748,432","$61,534",$2.642b,$770.7m,$48.872b,$15.426b,2.3m,92.95m
28 Feb,$6.456b,"$743,545","$66,729",$3.058b,$789.19m,$46.59b,$15.394b,2.17m,92.76m
,,,,,,,,,
,,,,,,,,,
BSC Chain Data,,,,,,,,,
Date,TVL,Chain Fees,Chain Revenue,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,Active Addresses,Transactions
01 Feb 2026,$6.185b,"$408,419","$40,842",$1.428b,$317.66m,$59.663b,$13.769b,2.62m,15.93m
02 Feb 2026,$6.07b,"$556,469","$55,647",$1.655b,$335.39m,$57.21b,$13.822b,3.14m,17.07m TXs
03 Feb 2026,$6.173b,"$445,942","$44,594",$2.038b,$27.88m,$59.201b,$13.81b,3.24m,16.89m TXs
04 Feb 2026,$6.048b,"$415,402","$41,540",$2.336b,$29.77m,$55.336b,$13.8b,3.23m,17.09m TXs
05 Feb 2026,$5.761b,"$415,256","$41,526",$2.868b,$329.08m,$52.337b,$13.808b,3.39m,19.69m TXs
06 Feb 2026,$5.107b,"$387,565","$38,756",$2.393b,$334.51m,$44.614b,$13.809b,3.26m,17.98m TXs
07 Feb 2026,$5.542b,"$264,818","$26,482",$1.726b,$300.03m,$49.661b,$13.81b,2.88m,14.7m TXs
08 Feb 2026,$5.514b,"$210,408","$21,041",$1.393b,$288.98m,$49.749b,$13.824b,2.82m,14.03m TXs
09 Feb,$5.546b,"$279,941","$27,994",$1.448b,$296.84m,$49.365b,$13.831b,3.02m,15.84m
10 Feb,$5.538b,"$313,457","$31,346",$1.224b,$290.67m,$49.295b,$13.838b,3.26m,16.89m
11 Feb,$5.461b,"$346,439","$34,644",$1.368b,$284.24m,$47.016b,$13.844b,3.14m,17.53m
12 Feb,$5.421b,"$254,505","$25,450",$1.3b,$294.92m,$45.054b,$13.824b,3.01m,16.18m
13 Feb,$5.629b,"$343,142","$34,314",$1.418b,$293.6m,$44.416b,$13.822b,2.84m,15.49m
14 Feb,$5.755b,"$252,541","$25,254",$537.58m,$280.99m,$47.861b,$13.888b,2.7m,14.55m
15 Feb,$5.766b,"$245,528","$24,553",$503.62m,$280.67m,$50.094b,$13.886b,2.56m,15.09m
16 Feb,5.791b,"337,179","33,718",868.2m,290.85m,$48.819b,13.889b,2.53m,14.42m
17 Feb,5.829b,"190,697","19,070",847.42m,288.47m,$49.062b,13.884b,2.39m,12.28m
18 Feb,5.767b,"190,194","19,019",771.66m,261.11m,$48.301b,13.879b,2.41m,12.97m
19 Feb,5.661b,"208,672","20,867",889.79m,285.84m,$46.293b,13.874b,2.54m,12.92m
20 Feb,5.617b,"200,047","20,005",1.06b,290.4m,$46.789b,13.879b,2.46m,13.19m
21 Feb,5.696b,"193,370","19,337",764.7m,282.29m,$48.005b,13.876b,2.49m,12.56m
22 Feb,5.684b,"162,107","16,211",720.92m,264.38m,$48.452b,13.873b,2.61m,12.46m
23 Feb 2026,$5.647b,"$226,813","$22,681",$1.344b,$372.66m,$46.931b,$13.879b,2.69m,14.34m
24 Feb 2026,$5.44b,"$281,564","$28,156",$1.277b,$323.56m,$44.219b,$13.786b,2.75m,14.56m
25 Feb 2026,$5.406b,"$281,380","$28,138",$971.92m,$347.22m,$45.046b,$13.778b,2.7m,14.37m
26 Feb 2026,$5.707b,"$253,681","$25,368",$975.19m,$675.89m,$49.753b,$13.766b,2.61m,14.37m
27 Feb 2026,$5.631b,"$296,197","$29,620",$691.42m,$317.88m,$48.872b,$13.76b,2.63m,14.74m
28 Feb 2026,$5.568b,"$370,111","$37,011",$1.339b,$384.98m,$46.59b,$14.286b,2.58m,14.46m
,,,,,,,,,
Bitcoin Chain Data ,,,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token Mcap,Active Addresses,,,
01 Feb 2026,$5.892b,N/A,$1.12m,$42.39m,$1.574t,"613,261",,,
02 Feb 2026,$5.788b,-,$1.66m,$56.07m,$1.538t,"734,473",,,
03 Feb 2026,$5.879b,"$243,024",$1.39m,$48.7m,$1.573t,"741,467",,,
04 Feb 2026,$5.605b,"$233,933",$1.41m,$51.21m,$1.512t,"704,812",,,
05 Feb 2026,$5.478b,"$359,470",$2.28m,$106.8m,$1.464t,"865,167",,,
06 Feb 2026,$4.572b,"$435,153",$1.42m,$91.37m,$1.262t,"856,992",,,
07 Feb 2026,$5.281b,"$191,646","$548,904",$57.53m,$1.41t,"645,574",,,
08 Feb 2026,$5.187b,"$157,050","$500,894",$21.97m,$1.386t,"555,675",,,
09 Feb 2026,$5.336b,"$204,936","$375,189",$29.04m,$1.412t,"682,068",,,
10 Feb 2026,$5.304b,"$179,110","$897,811",$23.84m,$1.401t,"624,916",,,
11 Feb 2026,$5.205b,"$198,124",$1.36m,$28.03m,$1.374t,"659,141",,,
12 Feb 2026,$5.089b,"$168,932",$1.19m,$19.55m,$1.338t,"653,355",,,
13 Feb 2026,$5.019b,"$190,425",$1.22m,$17.53m,$1.323t,"684,978",,,
14 Feb 2026,$5.21b,"$151,961","$831,437",$11.11m,$1.376t,"583,422",,,
15 Feb 2026,$5.153b,"$126,887","$888,184",$19.05m,$1.395t,"583,422",,,
16 Feb 2026,$5.182b,"$153,132","$846,446",$16.29m,$1.374t,"$592,609",,,
17 Feb 2026,$5.184b,"$153,695","$976,565",$17.19m,$1.377t,"$595,445",,,
18 Feb 2026,$5.052b,"$153,378","$990,702",$14.37m,$1.349t,"$595,919",,,
19 Feb 2026,$4.969b,"$158,689","$835,064",$11.39m,$1.328t,"616,639",,,
20 Feb 2026,$5.024b,"$175,982","$884,030",$14.95m,$1.338t,"662,947",,,
21 Feb 2026,$5.076b,"$147,150","$572,044",$9.16m,$1.359t,"579,813",,,
22 Feb 2026,$5.086b,"$126,371","$582,318",$7.69m,$1.359t,"525,709",,,
23 Feb 2026,$4.5b,"$166,817","$973,660",$17.7m,$1.351t,"684,644",,,
24 Feb 2026,$4.3b,"$178,573",$1.1m,$15.76m,$1.291t,"661,423",,,
25 Feb 2026,$4.26b,"$198,057",$1.31m,$26.05m,$1.281t,"650,235",,,
26 Feb 2026,$4.523b,"$231,320",$1.24m,$18.24m,$1.358t,"693,519",,,
27 Feb 2026,$4.432b,"$198,875",$1.19m,$16.42m,$1.349t,"704,075",,,
28 Feb 2026,$4.355b,"$171,953",$1.18m,$21.11m,$1.318t,"640,533",,,
,,,,,,,,,
Tron Chain Data,,,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,Active Addresses,Transactions,
01 Feb,$4.37b,"$757,285",$57.03m,$202.64m,$27.119b,$84.29b,3.44m,11.18m,
02 Feb 2026,$4.253b,$1.26m,$91m,$198.01m,$26.96b,$84.312b,3.66m,12.44m,
03 Feb 2026,$4.202b,$1.13m,$73.3m,$129.71m,$26.81b,$84.154b,3.71m,12.45m,
04 Feb 2026,$4.15b,$1.05m,$81.24m,$446.8m,$27.046b,$84.055b,3.71m,12.35m,
05 Feb 2026,$4.052b,$1.12m,$149.48m,$228.15m,$26.787b,$84.72b,3.59m,12.23m,
06 Feb 2026,$3.751b,$1.08m,$125.53m,$245.64m,$25.53b,$84.8b,3.56m,11.93m,
07 Feb 2026,$4.274b,"$706,431",$64.38m,$157.35m,$25.946b,$84.824b,3.31m,10.64m,
08 Feb 2026,$4.111b,"$620,500",$45.05m,$137.78m,$26.338b,$84.855b,3.26m,10.11m,
09 Feb,$4.135b,$1.03m,$83.18m,$137.24m,$26.329b,$85.992b,3.52m,11.73m,
10 Feb,$4.088b,$1.05m,$43m,$119.53m,$26.393b,$85.81b,3.68m,11.98m,
11 Feb,$4.045b,"$971,725",$70.11m,$118.67m,$26.32b,$85.723b,3.63m,11.63m,
12 Feb,$3.999b,"$948,201",$43.52m,$86.2m,$26.309b,$85.72b,3.6m,11.5m,
13 Feb,$4.005b,"$984,163",$71.84m,$87.44m,$26.489b,$85.741b,3.59m,11.56m,
14 Feb,$4.059b,"$700,449",$27.92m,$86.5m,$26.705b,$84.741b,3.34m,10.49m,
15 Feb,$4.054b,"676,425",$27.79m,$93.16m,$26.75b,$84.752b,3.35m,10.36m ,
16 Feb 2026,$4.053b,"$861,199",$43.39m,$85.27m,$26.559b,$84.732b,3.44m,10.58m,
17 Feb 2026,$4.073b,"$784,369",$49.35m,$71.98m,$26.945b,$84.679b,3.49m,10.25m,
18 Feb 2026,$4.051b,"$724,710",$31.43m,$70.42m,$26.711b,$84.583b,3.43m,10.03m,
19 Feb 2026,$3.993b,"$741,514",$43.76m,$85.48m,$26.39b,$84.559b,3.39m,9.97m,
20 Feb 2026,$4.07b,"$791,126",$84.61m,$85.71m,$26.964b,$84.634b,3.43m,10.23m,
21 Feb 2026,$4.107b,"$598,131",$27.43m,$61.18m,$27.027b,$85.151b,2.88m,9.03m,
22 Feb 2026,$4.161b,"$536,287",$33.57m,$74.89m,$27.366b,$84.922b,2.77m,8.74m,
23 Feb,$4.139b,"$811,971",$73.01m,$102.02m,$27.504b,$86.146b,3.17m,10.22m,
24 Feb,$4.007b,"$890,324",$59.4m,$106.98m,$26.663b,$86.159b,3.29m,10.8m,
25 Feb,$4.063b,"$900,881",$63.81m,$100.37m,$26.838b,$86.166b,3.19m,10.81m,
26 Feb,$4.246b,"$879,885",$54.78m,$292.03m,$27.026b,$86.181b,3.26m,10.56m,
27 Feb,$4.208b,"$962,884",$48.13m,$323.75m,$27.063b,$86.032b,3.32m,11.09m,
28 Feb,$4.125b,"$772,967",$49.52m,$79.05m,$26.799b,$86.109b,2.91m,9.83m,
,,,,,,,,,
,,,,,,,,,
Base Chain Data ,,,,,,,,,
Date,TVL,Chain Fees,Chain Revenue,DEXs Volume,Perps Volume,Stablecoins Mcap,Active Addresses,Transactions,
01 Feb 2026,$4.282b,"$693,178","$692,736",$1.411b,$500.65m,$4.673b,"401,660",11.07m,
02 Feb 2026,$4.184b,"$553,590","$553,107",$1.268b,$563.83m,$4.679b,"451,086",12.29m TXs,
03 Feb 2026,$4.276b,"$560,410","$559,916",$1.398b,$497.28m,$4.662b,"419,943",12.03m TXs,
04 Feb 2026,$4.203b,"$547,911","$547,479",$1.331b,$617.82m,$4.646b,"428,275",12.01m TXs,
05 Feb 2026,$4.086b,$1.77m,$1.77m,$2.253b,$761.6m,$4.623b,"486,037",19.65m TXs,
06 Feb 2026,$3.637b,"$614,645","$613,722",$1.655b,$571.05m,$4.674b,"463,552",12.66m TXs,
07 Feb 2026,$3.997b,"$416,217","$415,908",$1.436b,$423.64m,$4.69b,"393,764",10.48m TXs,
